N 		 err 		 t 
2		0.000995624		1.1851e-05
4		8.81408e-07		2.018e-06
8		1.19016e-12		2.47802e-06
16		1.33227e-15		1.1913e-05
32		1.33227e-15		8.95798e-06
64		1.33227e-15		1.6258e-05
128		1.33227e-15		3.0447e-05
256		1.33227e-15		4.8395e-05
512		1.33227e-15		8.9154e-05
1024		1.33227e-15		0.000171806
2048		1.33227e-15		0.000403425
4096		1.33227e-15		0.000705885
8192		1.33227e-15		0.00143565
16384		1.33227e-15		0.00261569
32768		1.33227e-15		0.00523104
65536		1.33227e-15		0.0104511
131072		1.33227e-15		0.019911
262144		1.33227e-15		0.0379192
524288		1.33227e-15		0.0755738
1048576		1.33227e-15		0.151859
2097152		1.33227e-15		0.294833
4194304		1.33227e-15		0.576696
8388608		1.33227e-15		1.14995
16777216		1.33227e-15		2.28522
