N 		 err 		 t 
2		0.40298		4.49999e-06
4		0.21898		1.72004e-07
8		0.114295		2.33005e-07
16		0.0583996		2.44996e-07
32		0.0295188		3.52011e-07
64		0.0148399		6.03002e-07
128		0.00744013		1.156e-06
256		0.00372513		2.16799e-06
512		0.00186383		4.29999e-06
1024		0.000932232		8.371e-06
2048		0.000466195		1.6614e-05
4096		0.000233117		3.3543e-05
8192		0.000116564		6.8565e-05
16384		5.8283e-05		0.000135219
32768		2.91418e-05		0.000269031
65536		1.4571e-05		0.000538559
131072		7.28552e-06		0.000812694
262144		3.64276e-06		0.00152572
524288		1.82138e-06		0.00294275
1048576		9.10692e-07		0.00644013
2097152		4.55346e-07		0.0114903
4194304		2.27673e-07		0.0207201
8388608		1.13837e-07		0.0388271
16777216		5.69228e-08		0.0768923
